home_score,away_score,home_team,away_team,fixture_date
0,0,Hearts,Rangers,2024-08-03
0,0,Motherwell,Ross County,2024-08-03
2,2,Dundee United,Dundee,2024-08-04
3,0,St Mirren,Hibernian,2024-08-04
4,0,Celtic,Kilmarnock,2024-08-04
1,2,St Johnstone,Aberdeen,2024-08-05
1,1,Ross County,Dundee United,2024-08-10
2,1,Rangers,Motherwell,2024-08-10
3,1,Dundee,Hearts,2024-08-10
0,2,Hibernian,Celtic,2024-08-11
0,3,Kilmarnock,St Johnstone,2024-08-11
3,1,Aberdeen,St Mirren,2024-08-11
2,2,Hibernian,Dundee,2024-08-24
2,0,Dundee United,St Johnstone,2024-08-24
6,0,Rangers,Ross County,2024-08-24
0,3,St Mirren,Celtic,2024-08-25
3,1,Motherwell,Hearts,2024-08-25
2,0,Aberdeen,Kilmarnock,2024-08-25
1,2,St Johnstone,Motherwell,2024-08-31
2,2,Dundee,St Mirren,2024-08-31
0,1,Ross County,Aberdeen,2024-08-31
3,0,Celtic,Rangers,2024-09-01
0,1,Hearts,Dundee United,2024-09-01
1,1,Kilmarnock,Hibernian,2024-09-01
2,0,Celtic,Hearts,2024-09-14
2,0,Hibernian,St Johnstone,2024-09-14
2,0,Ross County,Dundee,2024-09-14
2,1,Aberdeen,Motherwell,2024-09-14
2,2,St Mirren,Kilmarnock,2024-09-14
0,1,Dundee United,Rangers,2024-09-15
3,3,Ross County,St Johnstone,2024-09-21
2,1,St Mirren,Hearts,2024-09-21
3,3,Kilmarnock,Dundee United,2024-09-28
1,1,Hearts,Ross County,2024-09-28
1,2,Dundee,Aberdeen,2024-09-28
2,1,Motherwell,St Mirren,2024-09-28
0,6,St Johnstone,Celtic,2024-09-28
1,0,Rangers,Hibernian,2024-09-29
1,2,Hibernian,Motherwell,2024-10-05
2,3,Dundee,Kilmarnock,2024-10-05
0,1,St Mirren,Dundee United,2024-10-05
1,2,Ross County,Celtic,2024-10-06
3,2,Aberdeen,Hearts,2024-10-06
2,0,Rangers,St Johnstone,2024-10-06
4,0,Hearts,St Mirren,2024-10-19
0,1,Motherwell,Dundee,2024-10-19
3,0,St Johnstone,Ross County,2024-10-19
3,2,Dundee United,Hibernian,2024-10-19
2,2,Celtic,Aberdeen,2024-10-19
1,0,Kilmarnock,Rangers,2024-10-20
1,2,Dundee,St Johnstone,2024-10-26
2,1,Ross County,Kilmarnock,2024-10-26
1,0,Aberdeen,Dundee United,2024-10-26
1,1,Hibernian,Hearts,2024-10-27
0,3,Motherwell,Celtic,2024-10-27
2,1,Rangers,St Mirren,2024-10-27
1,2,Dundee United,Motherwell,2024-10-30
0,0,Ross County,Hibernian,2024-10-30
2,0,Celtic,Dundee,2024-10-30
1,2,Hearts,Kilmarnock,2024-10-30
3,1,St Mirren,St Johnstone,2024-10-30
2,1,Aberdeen,Rangers,2024-10-30
0,0,St Mirren,Ross County,2024-11-02
1,2,St Johnstone,Hearts,2024-11-02
1,1,Hibernian,Dundee United,2024-11-03
3,2,Dundee,Kilmarnock,2024-11-03
1,2,Hibernian,St Mirren,2024-11-09
3,0,Dundee United,Ross County,2024-11-09
2,1,Motherwell,St Johnstone,2024-11-09
4,1,Aberdeen,Dundee,2024-11-09
0,2,Kilmarnock,Celtic,2024-11-10
1,0,Rangers,Hearts,2024-11-10
2,1,Ross County,Motherwell,2024-11-23
